caseList,caseSampleCount,AllTimeMAE,RouteOnlyMAE,ComparatorMinusSQTR
1,13,0.0299123347366373,0.0344647875260153,-0.004552452789377999
2,13,0.0555425064699558,0.0564359419412118,-0.0008934354712559975
3,14,0.0575266978515599,0.0575266978515599,0.0
4,7,0.0652286560297278,0.0652286560297278,0.0
5,6,0.206550069152016,0.235995449905217,-0.029445380753200995
6,1,0.124119761958048,0.124119761958048,0.0
7,7,0.11330327288481,0.11330327288481,0.0
8,5,0.117950424326772,0.117950424326772,0.0
9,9,0.124646673194463,0.122229592969719,0.002417080224744003
10,10,0.0909355693127369,0.0881261777837515,0.0028093915289854055
11,20,0.0633645228231384,0.0633645228231384,0.0
12,12,0.133338352532311,0.0409290198701553,0.0924093326621557
13,13,0.338972796755815,0.333070874900593,0.005901921855221981
14,7,0.173090145533637,0.163472926593949,0.009617218939688005
15,6,0.146200555447133,0.140717334962439,0.005483220484694018
16,3,0.151155652899432,0.151956563121942,-0.0008009102225099984
